iid,pid,quota,seat,g,or,cr,p
42,109,AI,OPEN,N,10486,14467,0
42,109,AI,OPEN,F,19820,23399,0
42,109,AI,EWS,N,1947,2095,0
42,109,AI,EWS,F,3450,3646,0
42,109,AI,OBC-NCL,N,4402,5168,0
42,109,AI,OBC-NCL,F,8189,8599,0
42,109,AI,SC,N,2203,2834,0
42,109,AI,SC,F,2833,3644,0
42,109,AI,ST,N,883,1093,0
42,109,AI,ST,F,1402,1419,0
42,131,AI,OPEN,N,2344,3855,0
42,131,AI,OPEN,F,4082,6467,0
42,131,AI,OPEN-PwD,F,50,50,1
42,131,AI,EWS,N,426,531,0
42,131,AI,EWS,F,923,1035,0
42,131,AI,OBC-NCL,N,984,1470,0
42,131,AI,OBC-NCL,F,2515,3264,0
42,131,AI,OBC-NCL-PwD,N,54,54,0
42,131,AI,SC,N,344,747,0
42,131,AI,SC,F,836,1158,0
42,131,AI,ST,N,136,257,0
42,131,AI,ST,F,663,663,0
42,158,AI,OPEN,N,5585,7398,0
42,158,AI,OPEN,F,10538,14984,0
42,158,AI,EWS,N,958,1077,0
42,158,AI,EWS,F,2136,2167,0
42,158,AI,OBC-NCL,N,2248,3198,0
42,158,AI,OBC-NCL,F,5062,5488,0
42,158,AI,SC,N,1101,1788,0
42,158,AI,SC,F,2175,2175,0
42,158,AI,ST,N,552,908,0
42,158,AI,ST,F,846,846,0
42,171,AI,OPEN,N,3873,5535,0
42,171,AI,OPEN,F,8993,10399,0
42,171,AI,OPEN-PwD,N,192,192,0
42,171,AI,EWS,N,671,796,0
42,171,AI,EWS,F,1367,1367,0
42,171,AI,OBC-NCL,N,1763,2238,0
42,171,AI,OBC-NCL,F,3747,4785,0
42,171,AI,OBC-NCL-PwD,F,69,69,1
42,171,AI,SC,N,987,1392,0
42,171,AI,SC,F,1476,1476,0
42,171,AI,ST,N,511,553,0
42,171,AI,ST,F,830,830,0
42,190,AI,OPEN,N,8840,10494,0
42,190,AI,OPEN,F,20216,20335,0
42,190,AI,EWS,N,1887,1931,0
42,190,AI,OBC-NCL,N,3628,4576,0
42,190,AI,OBC-NCL,F,6849,6849,0
42,190,AI,SC,N,1650,2568,0
42,190,AI,SC,F,3531,3531,0
42,190,AI,ST,N,1221,1221,0
42,240,AI,OPEN,N,4174,4607,0
42,240,AI,OPEN,F,7679,8804,0
42,240,AI,EWS,N,661,739,0
42,240,AI,OBC-NCL,N,1664,2092,0
42,240,AI,OBC-NCL,F,4715,4715,0
42,240,AI,SC,N,989,992,0
42,240,AI,SC,F,2114,2114,0
42,240,AI,ST,N,619,769,0
42,248,AI,OPEN,N,4945,10195,0
42,248,AI,OPEN,F,15167,19533,0
42,248,AI,OPEN-PwD,N,154,154,1
42,248,AI,EWS,N,1272,1583,0
42,248,AI,EWS,F,2851,2880,0
42,248,AI,OBC-NCL,N,3085,4083,0
42,248,AI,OBC-NCL,F,6760,7603,0
42,248,AI,SC,N,1859,2462,0
42,248,AI,SC,F,3073,3388,0
42,248,AI,ST,N,915,1088,0
42,248,AI,ST,F,1471,1532,0
42,261,AI,OPEN,N,11591,14016,0
42,261,AI,OPEN,F,20044,22981,0
42,261,AI,EWS,N,2214,2243,0
42,261,AI,OBC-NCL,N,5169,5580,0
42,261,AI,OBC-NCL,F,8517,8849,0
42,261,AI,SC,N,2742,2965,0
42,261,AI,SC,F,3877,3877,0
42,261,AI,ST,N,1195,1294,0
42,261,AI,ST,F,1764,1764,0
43,6,AI,OPEN,N,1195,2305,0
43,6,AI,OPEN,F,4812,5994,0
43,6,AI,EWS,N,297,489,0
43,6,AI,EWS,F,1160,1160,0
43,6,AI,EWS-PwD,N,41,41,0
43,6,AI,OBC-NCL,N,928,1295,0
43,6,AI,OBC-NCL,F,2823,3571,0
43,6,AI,OBC-NCL-PwD,F,75,75,1
43,6,AI,SC,N,174,634,0
43,6,AI,SC,F,459,1252,0
43,6,AI,ST,N,315,474,0
43,6,AI,ST,F,684,684,0
43,13,AI,OPEN,N,4724,7847,0
43,13,AI,OPEN,F,13688,13761,0
43,13,AI,EWS,N,1123,1311,0
43,13,AI,EWS,F,2839,2839,0
43,13,AI,OBC-NCL,N,2786,4014,0
43,13,AI,OBC-NCL,F,5934,5934,0
43,13,AI,SC,N,2140,2370,0
43,13,AI,SC,F,2950,2950,0
43,13,AI,ST,N,1063,1070,0
43,13,AI,ST,F,1581,1581,0
43,72,AI,OPEN,N,370,957,0
43,72,AI,OPEN,F,3432,3432,0
43,72,AI,EWS,N,397,397,0
43,72,AI,EWS,F,1085,1085,0
43,72,AI,OBC-NCL,N,742,1018,0
43,72,AI,OBC-NCL,F,2616,2616,0
43,72,AI,OBC-NCL-PwD,N,56,56,1
43,72,AI,SC,N,24,556,0
43,72,AI,SC,F,1771,1771,0
43,72,AI,ST,N,557,557,0
43,97,AI,OPEN,N,601,2423,0
43,97,AI,OPEN,F,4813,5969,0
43,97,AI,OPEN-PwD,N,176,176,0
43,97,AI,OPEN-PwD,F,198,198,0
43,97,AI,EWS,N,385,500,0
43,97,AI,EWS,F,1018,1139,0
43,97,AI,EWS-PwD,N,23,23,1
43,97,AI,OBC-NCL,N,800,1255,0
43,97,AI,OBC-NCL,F,2840,3552,0
43,97,AI,OBC-NCL-PwD,N,86,86,1
43,97,AI,SC,N,443,694,0
43,97,AI,SC,F,1124,1242,0
43,97,AI,SC-PwD,N,9,9,0
43,97,AI,ST,N,308,469,0
43,97,AI,ST,F,523,649,0
43,104,AI,OPEN,N,3133,7081,0
43,104,AI,OPEN,F,9368,10435,0
43,104,AI,EWS,N,986,1353,0
43,104,AI,EWS,F,2621,2621,0
43,104,AI,OBC-NCL,N,2801,3611,0
43,104,AI,OBC-NCL,F,6467,6573,0
43,104,AI,SC,N,1436,2164,0
43,104,AI,SC,F,719,719,0
43,104,AI,ST,N,910,1140,0
43,104,AI,ST,F,1540,1540,0
43,109,AI,OPEN,N,2666,4095,0
43,109,AI,OPEN,F,6085,8597,0
43,109,AI,OPEN-PwD,N,62,202,0
43,109,AI,EWS,N,522,725,0
43,109,AI,EWS,F,1442,1643,0
43,109,AI,EWS-PwD,N,10,10,1
43,109,AI,OBC-NCL,N,973,1809,0
43,109,AI,OBC-NCL,F,3469,4597,0
43,109,AI,OBC-NCL-PwD,N,80,30,1
43,109,AI,SC,N,444,934,0
43,109,AI,SC,F,824,1778,0
43,109,AI,ST,N,23,290,0
43,109,AI,ST,F,294,522,0
43,131,AI,OPEN,N,1,66,0
43,131,AI,OPEN,F,29,296,0
43,131,AI,OPEN-PwD,N,1,4,0
43,131,AI,OPEN-PwD,F,12,12,0
43,131,AI,EWS,N,5,20,0
43,131,AI,EWS,F,38,53,0
43,131,AI,EWS-PwD,N,3,3,0
43,131,AI,OBC-NCL,N,6,54,0
43,131,AI,OBC-NCL,F,70,331,0
43,131,AI,OBC-NCL-PwD,N,2,3,0
43,131,AI,SC,N,1,31,0
43,131,AI,SC,F,111,270,0
43,131,AI,SC-PwD,N,1,1,0
43,131,AI,ST,N,2,19,0
43,131,AI,ST,F,17,76,0
43,131,AI,ST-PwD,N,1,1,0
43,154,AI,OPEN,N,1531,2312,0
43,154,AI,OPEN,F,3744,4564,0
43,154,AI,EWS,N,498,554,0
43,154,AI,EWS,F,978,978,0
43,154,AI,OBC-NCL,N,993,1405,0
43,154,AI,OBC-NCL,F,2899,3344,0
43,154,AI,SC,N,371,855,0
43,154,AI,SC,F,1565,1565,0
43,154,AI,ST,N,604,691,0
43,154,AI,ST,F,564,564,0
43,158,AI,OPEN,N,106,420,0
43,158,AI,OPEN,F,779,1914,0
43,158,AI,OPEN-PwD,N,23,23,0
43,158,AI,EWS,N,51,113,0
43,158,AI,EWS,F,235,396,0
43,158,AI,EWS-PwD,N,11,11,0
43,158,AI,OBC-NCL,N,122,339,0
43,158,AI,OBC-NCL,F,588,1117,0
43,158,AI,OBC-NCL-PwD,N,20,20,0
43,158,AI,SC,N,57,163,0
43,158,AI,SC,F,345,753,0
43,158,AI,SC-PwD,N,7,7,0
43,158,AI,ST,N,21,96,0
43,158,AI,ST,F,196,260,0
43,157,AI,OPEN,N,470,830,0
43,157,AI,OPEN,F,2219,3274,0
43,157,AI,OPEN-PwD,N,29,29,0
43,157,AI,EWS,N,178,265,0
43,157,AI,EWS,F,443,621,0
43,157,AI,EWS-PwD,N,36,36,0
43,157,AI,OBC-NCL,N,417,549,0
43,157,AI,OBC-NCL,F,1211,1542,0
43,157,AI,OBC-NCL-PwD,N,37,37,0
43,157,AI,SC,N,128,293,0
43,157,AI,SC,F,715,998,0
43,157,AI,ST,N,168,204,0
43,157,AI,ST,F,248,248,0
43,186,AI,OPEN,N,1810,2471,0
43,186,AI,OPEN,F,4087,6136,0
43,186,AI,EWS,N,381,494,0
43,186,AI,EWS,F,1422,1422,0
43,186,AI,OBC-NCL,N,1089,1455,0
43,186,AI,OBC-NCL,F,3365,3818,0
43,186,AI,SC,N,320,841,0
43,186,AI,SC,F,2222,2222,0
43,186,AI,ST,N,678,732,0
43,186,AI,ST,F,1090,1090,0
43,190,AI,OPEN,N,122,1490,0
43,190,AI,OPEN,F,3126,5593,0
43,190,AI,OPEN-PwD,N,40,40,0
43,190,AI,EWS,N,135,475,0
43,190,AI,EWS,F,1172,1172,0
43,190,AI,OBC-NCL,N,269,1247,0
43,190,AI,OBC-NCL,F,1588,3828,0
43,190,AI,OBC-NCL-PwD,N,26,26,1
43,190,AI,SC,N,483,850,0
43,190,AI,SC,F,1089,1213,0
43,190,AI,ST,N,353,638,0
43,190,AI,ST,F,642,642,0
43,194,AI,OPEN,N,3143,4696,0
43,194,AI,OPEN,F,8026,8925,0
43,194,AI,OPEN-PwD,N,78,78,1
43,194,AI,EWS,N,802,959,0
43,194,AI,EWS,F,2412,2412,0
43,194,AI,OBC-NCL,N,2015,2587,0
43,194,AI,OBC-NCL,F,5175,5253,0
43,194,AI,SC,N,1143,1375,0
43,194,AI,SC,F,2221,2221,0
43,194,AI,ST,N,792,821,0
43,194,AI,ST,F,1239,1239,0
43,208,AI,OPEN,N,264,1133,0
43,208,AI,OPEN,F,2669,3012,0
43,208,AI,OPEN-PwD,N,58,58,0
43,208,AI,EWS,N,161,222,0
43,208,AI,EWS,F,711,711,0
43,208,AI,OBC-NCL,N,668,974,0
43,208,AI,OBC-NCL,F,2844,2913,0
43,208,AI,OBC-NCL-PwD,N,100,100,1
43,208,AI,SC,N,332,692,0
43,208,AI,SC,F,1172,1172,0
43,208,AI,ST,N,104,289,0
43,208,AI,ST,F,582,582,0
43,248,AI,OPEN,N,490,1770,0
43,248,AI,OPEN,F,2816,4693,0
43,248,AI,OPEN-PwD,N,89,93,0
43,248,AI,EWS,N,201,336,0
43,248,AI,EWS,F,859,1086,0
43,248,AI,EWS-PwD,N,13,13,1
43,248,AI,OBC-NCL,N,311,925,0
43,248,AI,OBC-NCL,F,1158,2632,0
43,248,AI,OBC-NCL-PwD,N,67,69,0
43,248,AI,SC,N,168,507,0
43,248,AI,SC,F,859,1179,0
43,248,AI,ST,N,129,291,0
43,248,AI,ST,F,636,766,0
43,259,AI,OPEN,N,2584,4119,0
43,259,AI,OPEN,F,6628,8075,0
43,259,AI,OPEN-PwD,N,92,92,1
43,259,AI,EWS,N,580,916,0
43,259,AI,EWS,F,1515,1782,0
43,259,AI,OBC-NCL,N,1356,2159,0
43,259,AI,OBC-NCL,F,3893,4903,0
43,259,AI,SC,N,968,1345,0
43,259,AI,SC,F,2121,2209,0
43,259,AI,ST,N,377,677,0
43,259,AI,ST,F,864,1156,0
56,54,AI,OPEN,N,6043,10184,0
56,54,AI,OPEN,F,16970,17710,0
56,54,AI,EWS,N,1494,1658,0
56,54,AI,EWS,F,2826,2826,0
56,54,AI,OBC-NCL,N,4150,4674,0
56,54,AI,OBC-NCL,F,7992,9103,0
56,54,AI,SC,N,2311,2520,0
56,54,AI,SC,F,3866,3866,0
56,54,AI,ST,N,1216,1315,0
